date,name
2017/1/29,ELEAGUE Major 2017
2017/1/28,ELEAGUE Major 2017
2017/1/27,ELEAGUE Major 2017
2017/1/26,ELEAGUE Major 2017
2017/1/25,ELEAGUE Major 2017
2017/1/24,ELEAGUE Major 2017
2017/1/23,ELEAGUE Major 2017
2017/1/22,ELEAGUE Major 2017
2017/7/23,PGL Major Krakow 2017
2017/7/22,PGL Major Krakow 2017
2017/7/19,PGL Major Krakow 2017
2017/7/18,PGL Major Krakow 2017
2017/7/17,PGL Major Krakow 2017
2017/7/16,PGL Major Krakow 2017
2018/1/28,ELEAGUE Major 2018
2018/1/27,ELEAGUE Major 2018
2018/1/26,ELEAGUE Major 2018
2018/1/25,ELEAGUE Major 2018
2018/1/22,ELEAGUE Major 2018
2018/1/21,ELEAGUE Major 2018
2018/1/20,ELEAGUE Major 2018
2018/1/19,ELEAGUE Major 2018
2018/9/23,FACEIT Major 2018
2018/9/22,FACEIT Major 2018
2018/9/21,FACEIT Major 2018
2018/9/20,FACEIT Major 2018
2018/9/16,FACEIT Major 2018
2018/9/15,FACEIT Major 2018
2018/9/14,FACEIT Major 2018
2018/9/13,FACEIT Major 2018
2018/9/12,FACEIT Major 2018
2019/3/1,IEM Katowice 2019
2019/2/28,IEM Katowice 2019
2019/2/27,IEM Katowice 2019
2019/2/23,IEM Katowice 2019
2019/2/22,IEM Katowice 2019
2019/2/21,IEM Katowice 2019
2019/2/20,IEM Katowice 2019
2019/9/8,StarLadder Major Berlin 2019
2019/9/7,StarLadder Major Berlin 2019
2019/9/6,StarLadder Major Berlin 2019
2019/9/5,StarLadder Major Berlin 2019
2019/9/1,StarLadder Major Berlin 2019
2019/8/31,StarLadder Major Berlin 2019
2019/8/30,StarLadder Major Berlin 2019
2019/8/29,StarLadder Major Berlin 2019
2019/8/28,StarLadder Major Berlin 2019
