time,open,high,low,close,change
"2011-10-28,五",22.01,25.6,22,25.08,123.93%
"2011-10-31,一",23.99,25.3,23.3,24.39,-2.75%
"2011-11-01,二",23.59,26.38,23.45,25.2,3.32%
"2011-11-02,三",24.25,25.73,23.94,25.66,1.83%
"2011-11-03,四",26,26.3,24.33,24.37,-5.03%
"2011-11-04,五",24.55,25.5,24.13,24.56,0.78%
"2011-11-07,一",24.2,24.69,23.25,24.28,-1.14%
"2011-11-08,二",24.08,25.1,23.93,24.71,1.77%
"2011-11-09,三",24.64,25.46,24.33,25.17,1.86%
"2011-11-10,四",24.8,25.35,24.56,25.19,0.08%
"2011-11-11,五",25.97,26.48,25.16,25.28,0.36%
"2011-11-14,一",25.2,26.25,25.12,25.75,1.86%
"2011-11-15,二",25.81,26.17,25,25.29,-1.79%
"2011-11-16,三",25.29,25.45,24.3,24.55,-2.93%
"2011-11-17,四",24.6,24.98,24.2,24.62,0.29%
"2011-11-18,五",24.3,24.78,24.26,24.38,-0.97%
"2011-11-21,一",24.38,24.63,24.03,24.63,1.03%
"2011-11-22,二",24.6,27.09,24.5,26.4,7.19%
"2011-11-23,三",26,26.5,25.71,26.16,-0.91%
"2011-11-24,四",25.87,27.28,25.68,26.43,1.03%
"2011-11-25,五",26,26.24,25.1,25.25,-4.46%
"2011-11-28,一",25.02,25.24,23.38,23.45,-7.13%
"2011-11-29,二",23.8,23.82,23.25,23.64,0.81%
"2011-11-30,三",23.57,23.85,21.6,22.05,-6.73%
"2011-12-01,四",22.7,23.05,22.29,22.41,1.63%
"2011-12-02,五",22.11,22.29,21.2,21.35,-4.73%
"2011-12-05,一",21.35,21.76,21.21,21.65,1.41%
"2011-12-06,二",21.13,22.32,21.13,22.22,2.63%
"2011-12-07,三",22.16,22.84,21.82,22.66,1.98%
"2011-12-08,四",22.33,23.07,21.51,22.33,-1.46%
"2011-12-09,五",21.89,22.86,21.58,22.38,0.22%
"2011-12-12,一",22.3,22.95,21.36,21.38,-4.47%
"2011-12-13,二",21.4,21.78,19.88,19.88,-7.02%
"2011-12-14,三",19.71,19.71,18.4,18.48,-7.04%
"2011-12-15,四",18,18.65,17.81,17.88,-3.25%
"2011-12-16,五",17.98,18.49,17.13,18.47,3.30%
"2011-12-19,一",18,18.25,17.29,18.06,-2.22%
"2011-12-20,二",17.81,18.49,17.79,18.12,0.33%
"2011-12-21,三",18.28,18.33,16.31,16.31,-9.99%
"2011-12-22,四",15.81,15.98,14.86,15.34,-5.95%
"2011-12-23,五",15.34,15.78,15.1,15.43,0.59%
"2011-12-26,一",15.39,15.6,14.67,14.67,-4.93%
"2011-12-27,二",14.51,15.4,14.51,14.86,1.30%
"2011-12-28,三",14.63,15.62,14.14,15.45,3.97%
"2011-12-29,四",15.29,16.2,15.2,15.6,0.97%
"2011-12-30,五",15.5,16.38,15.45,16.1,3.21%
"2012-01-04,三",16.11,16.17,14.49,14.49,-10.00%
"2012-01-05,四",13.91,14.39,13.05,13.4,-7.52%
"2012-01-06,五",13.38,13.98,12.82,13.75,2.61%
"2012-01-09,一",13.62,14.46,13.3,14.36,4.44%
"2012-01-10,二",14.3,15.06,14.11,14.95,4.11%
"2012-01-11,三",14.77,15.14,14.6,14.73,-1.47%
"2012-01-13,五",14.68,14.68,13.47,13.58,-7.81%
"2012-01-16,一",13.34,13.6,13,13.02,-4.12%
"2012-01-17,二",12.96,14.06,12.91,13.95,7.14%
"2012-01-18,三",13.89,14.65,13.5,13.6,-2.51%
"2012-01-19,四",13.54,13.75,13,13.67,0.51%
"2012-01-20,五",13.67,14.21,13.55,13.94,1.98%
"2012-01-30,一",14.09,14.49,13.82,14.13,1.36%
"2012-01-31,二",14.21,14.78,14.05,14.75,4.39%
"2012-02-01,三",14.55,14.84,14.23,14.32,-2.92%
"2012-02-02,四",14.38,14.56,14.07,14.56,1.68%
"2012-02-03,五",14.51,15.05,14.38,14.99,2.95%
"2012-02-06,一",15.1,15.55,15.06,15.45,3.07%
"2012-02-07,二",15.2,15.28,14.6,14.82,-4.08%
"2012-02-08,三",14.61,15.28,14.61,15.2,2.56%
"2012-02-09,四",15.2,15.65,15.16,15.26,0.39%
"2012-02-10,五",15.29,15.38,14.93,15.07,-1.25%
"2012-02-13,一",14.95,15.53,14.83,15.44,2.46%
"2012-02-14,二",15.4,15.46,15.03,15.18,-1.68%
"2012-02-15,三",15.26,15.75,15.18,15.65,3.10%
"2012-02-16,四",15.6,15.75,15.35,15.5,-0.96%
"2012-02-17,五",15.56,16.1,15.25,16.02,3.35%
"2012-02-20,一",16.17,16.18,15.83,15.91,-0.69%
"2012-02-21,二",15.8,16.14,15.48,16.12,1.32%
"2012-02-22,三",16.02,16.56,15.93,16.5,2.36%
"2012-02-23,四",16.5,16.9,16.36,16.74,1.45%
"2012-02-24,五",16.7,16.85,16.49,16.79,0.30%
"2012-02-27,一",16.78,17.09,16.55,16.69,-0.60%
"2012-02-28,二",16.53,16.54,15.77,16.08,-3.65%
"2012-02-29,三",15.95,16.13,15.8,15.83,-1.55%
"2012-03-01,四",15.81,16.14,15.78,16.06,1.45%
"2012-03-02,五",16.1,16.39,16,16.38,1.99%
"2012-03-05,一",16.45,16.55,16.08,16.14,-1.47%
"2012-03-06,二",16.15,17.69,15.8,17.24,6.82%
"2012-03-07,三",16.95,17.64,16.81,17.18,-0.35%
"2012-03-08,四",17.18,17.55,17.11,17.29,0.64%
"2012-03-09,五",17.4,18.1,17.35,18.02,4.22%
"2012-03-12,一",18.02,18.93,17.9,17.93,-0.50%
"2012-03-13,二",17.83,17.93,17.35,17.82,-0.61%
"2012-03-14,三",17.84,18.27,16.53,16.82,-5.61%
"2012-03-15,四",16.7,16.98,16.1,16.53,-1.72%
"2012-03-16,五",16.68,16.98,16.45,16.98,2.72%
"2012-03-19,一",17.05,17.48,16.9,17.4,2.47%
"2012-03-20,二",17.24,17.24,16.47,16.47,-5.34%
"2012-03-21,三",16.46,16.75,15.92,16.42,-0.30%
"2012-03-22,四",16.37,16.95,16.3,16.84,2.56%
"2012-03-23,五",16.62,16.8,16.06,16.18,-3.92%
"2012-03-26,一",16.2,16.45,15.85,16.27,0.56%
"2012-03-27,二",16.59,16.64,16.12,16.16,-0.68%
"2012-03-28,三",16.15,16.15,14.86,14.88,-7.92%
"2012-03-29,四",14.62,14.88,14,14.15,-4.91%
"2012-03-30,五",14.13,14.32,13.7,14,-1.06%
"2012-04-05,四",14.08,14.49,13.91,14.49,3.50%
"2012-04-06,五",14.41,14.69,14.36,14.57,0.55%
"2012-04-09,一",14.7,15.2,14.44,14.83,1.78%
"2012-04-10,二",16.31,16.31,16.31,16.31,9.98%
"2012-04-11,三",16.96,17.94,16.91,17.94,9.99%
"2012-04-12,四",17.9,19.73,17.78,19.73,9.98%
"2012-04-13,五",20.5,20.69,19,19.1,-3.19%
"2012-04-16,一",18.81,19.5,18.7,19.15,0.26%
"2012-04-17,二",19,19,17.81,18.05,-5.74%
"2012-04-18,三",18,18.6,17.81,18.27,1.22%
"2012-04-19,四",18.11,18.99,17.65,18.83,3.07%
"2012-04-20,五",18.63,19.18,18.31,18.79,-0.21%
"2012-04-23,一",18.67,18.9,17.12,17.5,-6.87%
"2012-04-24,二",17.42,18.09,16.41,18.03,3.03%
"2012-04-25,三",17.74,18.62,17.46,18.34,1.72%
"2012-04-26,四",18.27,19.18,17.83,18.07,-1.47%
"2012-04-27,五",17.64,17.67,17.15,17.3,-4.26%
"2012-05-02,三",17.55,17.85,17.29,17.62,1.85%
"2012-05-04,五",17.71,18.95,17.71,18.36,4.20%
"2012-05-07,一",18.36,19.68,18.23,19.59,6.70%
"2012-05-08,二",19.4,19.8,18.92,19.5,-0.46%
"2012-05-09,三",19.26,19.28,18.42,18.58,-4.72%
"2012-05-10,四",18.73,19.23,18.63,18.91,1.78%
"2012-05-11,五",18.8,19.21,18.57,18.79,-0.63%
"2012-05-14,一",18.85,18.98,17.89,17.95,-4.47%
"2012-05-15,二",17.97,18.3,17.81,18.29,1.89%
"2012-05-16,三",18.12,18.33,17.94,17.95,-1.86%
"2012-05-17,四",17.9,18.6,17.85,18.57,3.45%
"2012-05-18,五",18.8,18.8,18.03,18.08,-2.64%
"2012-05-21,一",17.88,18.11,17.5,17.8,-1.55%
"2012-05-22,二",17.97,18.19,17.85,17.98,1.01%
"2012-05-23,三",17.9,17.95,17.3,17.7,-1.56%
"2012-05-24,四",17.7,17.8,17.43,17.55,-0.85%
"2012-05-25,五",17.99,19.31,17.97,18.88,7.58%
"2012-05-28,一",18.44,19.42,18.41,19.3,2.22%
"2012-05-29,二",19.18,19.32,18.77,19.31,0.05%
"2012-05-30,三",19.11,19.64,18.9,19.35,0.21%
"2012-05-31,四",19.2,21.29,19.11,21.29,10.03%
"2012-06-01,五",10.45,10.7,10,10.04,-52.84%
"2012-06-04,一",9.75,9.75,9.04,9.09,-9.46%
"2012-06-05,二",9.04,9.66,9.04,9.28,2.09%
"2012-06-06,三",9.2,9.47,9.05,9.13,-1.62%
